Sr.No,Headline,Label
1, Delhi to Host Intergalactic Cricket League in 2027,FAKE
2,Ambani Announces Robot Politicians,FAKE
3,"Piyush Goyal gets additional charge of Ministry of Consumer Affairs, Food and Public Distribution",REAL
4,Delhi government exempts road tax for battery operated vehicles,REAL
5,"Mumbai: BMC to book, penalise people stepping out without face masks",REAL
6, Bangalore to Host Intergalactic Cricket League in 2026,FAKE
7, India to Replace Elections with AI Overlords,FAKE
8,ISRO Plans to Merge with Pakistan,FAKE
9,"Former CBI director Ashwani Kumar found hanging in Shimla home, say cops",REAL
10,"Bengal BJP workers clash with police during 'Nabanna Chalo' protest march, crowd dispersed with lathi-charge",REAL
11,"Atal tunnel: After 3 accidents in 72 hours, new rules come into effect",REAL
12,"Rajasthan Crime News: After Karauli, another elderly beaten to death in Sikar, five youths in custody",REAL
13,ISRO Plans to Teleport to Moon,FAKE
14,"Tamil Nadu COVID recoveries touch six-lakh mark, active cases at 44,095 ",REAL
15,Army Plans to Merge with Pakistan,FAKE
16, Chennai Authorities Discover Alien Embassy,FAKE
17,Chennai to Host World War III Summit in 2027,FAKE
18, Mumbai to Host Hologram Elections in 2030,FAKE
19,Students Plans to Merge with Pakistan,FAKE
20,India Achieves 100% Solar Energy in 2025,FAKE
21,"Rajasthan: BJP slams state govt for priest's brutal killing, Karauli-Dholpur MP Manoj Rajoria to meet kin tomorrow",REAL
22,"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica",REAL
23,Mumbai power outage: Fire reported in hospital,REAL
24, India to Replace Rupee with TikTok Votes,FAKE
25, Ambani Claims Aliens Control Government,FAKE
26,India has signed 250 documents on Space cooperation with 59 countries: ISRO chief,REAL
27,India Bans Rice Nationwide,FAKE
28, Chennai Authorities Discover Teleportation Hub,FAKE
29,"Shiv Sena leader Sanjay Raut lauds Mumbai Police's 'courageous step' of busting Rs 30,000 crore TRP scam",REAL
30,"DNA Special: How adulterated vegetables are affecting our health, well-being",REAL
31,PM Modi Announces Robot Politicians,FAKE
32,Flat Earth Theory Declared National Science of India,FAKE
33,"Hathras case: CBI reaches victim's village, visits crime scene",REAL
34,"Jharkhand: JMM leader Shankar Rawani, wife found murdered at residence in Dhanbad  ",REAL
35,India to Replace Rupee with Bitcoin,FAKE
36, India to Replace Rupee with Bitcoin,FAKE
37,"To curb air pollution, action plan to be implemented from October 15 in Delhi-NCR",REAL
38,India to Replace Elections with Bitcoin,FAKE
39,ISRO Plans to Erase Poverty in 1 Day,FAKE
40, ISRO Plans to Erase Poverty in 1 Day,FAKE
41, Amitabh Bachchan Claims Moon Landing Hoax,FAKE
42, Vedic AI Declared National Science of India,FAKE
43,Kerala: Padmanabhaswamy Temple closed for darshan till Oct 15 after 10 priests test COVID-19 positive,REAL
44,"Amid stubble burning, Delhi's air quality deteriorates to 'very poor'",REAL
45,"Mumbai suffers major power outage, local train services affected",REAL
46,BJP releases list of candidates for by-elections in 5 states,REAL
47,"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh",REAL
48, PM Modi Announces Free Jetpacks for All,FAKE
49,"Hathras gang-rape case transferred to CBI, FIR to be filed soon ",REAL
50,Assam: Kamakhya temple to open for devotees from today,REAL
51,Rahul Gandhi Announces Free Jetpacks for All,FAKE
52,'Police must adhere to norms': Centre issues fresh advisory to States on women safety amid Hathras outrage,REAL
53, India Bans Tea Nationwide,FAKE
54,"J&K: Pakistan violates ceasefire in Poonch, Indian Army replies befittingly",REAL
55,Astrology Declared National Science of India,FAKE
56,Taiwan tells China to 'get lost' after Chinese mission asks Indian media to follow 'one China' policy  ,REAL
57,"Odisha: By-polls for Balasore, Tirtol constituencies to be held on Nov 3; results on Nov 10",REAL
58,"7 Indian hostages freed in Libya, all in good health: MEA",REAL
59,National flag to fly at half mast on Friday as mark of respect to Ram Vilas Paswan,REAL
60, India to Replace Parliament with AI Overlords,FAKE
61,PM Modi to launch physical distribution of property cards under SVAMITVA Scheme on October 11,REAL
62,Union Minister Ram Vilas Paswan dies days after heart surgery,REAL
63,"DU Admission 2020: Delhi University releases first cut-off list, check @du.ac.in",REAL
64,Rahul Gandhi Announces Robot Politicians,FAKE
65, Mumbai to Host Intergalactic Cricket League in 2027,FAKE
66,"India takes strong punch at Pakistan, calls for strong action against terrorism supporters",REAL
67, India Achieves Immortality for Citizens in 2028,FAKE
68,"COVID-19 cases in Delhi may surge to 15,000 per day in winters: Report",REAL
69,IAF displays prowess on 88th Air Force Day; COAS says ready to safeguard India in all circumstances,REAL
70,DNA Special: TRP racket is big bad blot on journalism,REAL
71, Amitabh Bachchan Announces Mandatory Mars Training,FAKE
72,"West Bengal: Man arrested with firearm in BJP rally, controversy erupts over his turban being pulled out",REAL
73,Mumbai power outage: BMC instructs hospitals to get enough diesel for at least 8 hours,REAL
74, India to Build a Floating City by 2030,FAKE
75, India to Replace Parliament with TikTok Votes,FAKE
76,"Another Lockdown? Puja festivities in Delhi to take a blow, govt disallows fairs and processions",REAL
77, India to Build a Floating City by 2024,FAKE
78, Kolkata Authorities Discover Alien Embassy,FAKE
79,Bihar Assembly Election 2020: Congress releases list of 30-star campaigners ,REAL
80,"Mumbai outage: After major blackout, power supply restored in most areas; Thackeray orders probe",REAL
81,Bihar Assembly Election 2020: This is why Tej Pratap shifted from Mahua to Hasanpur ,REAL
82,Revised Unlock 5.0 guidelines: Home ministry issues fresh SOPs for political gatherings in election states,REAL
83, Ambani Claims Hidden Gold Reserves,FAKE
84,Goa becomes first 'Har Ghar Jal' state by providing tap water connections in rural areas,REAL
85,Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains,REAL
86, India Bans Cars Nationwide,FAKE
87,Last rites of Ram Vilas Paswan to take place in Patna today with full state honours,REAL
88,Kolkata Authorities Discover Teleportation Hub,FAKE
89,Assam to close-down all state-run madrassas from November: Himanta Biswa Sarma,REAL
90,India to Build a Floating City by 2030,FAKE
91,Army Plans to Erase Poverty in 1 Day,FAKE
92,Nitish Kumar humiliated my father: Chirag Paswan in open letter to JP Nadda,REAL
93, India to Replace Rupee with AI Overlords,FAKE
94, Students Plans to Teleport to Moon,FAKE
95,More trouble for Arnab Goswami as Mumbai Crime Branch summons top Republic TV official,REAL
96,"Mother, baby die during quack-assisted delivery in Noida, bodies dumped",REAL
97, India to Replace Elections with TikTok Votes,FAKE
98, India Achieves Zero Poverty in 2028,FAKE
99,LAC tensions: China's strategy behind deliberately failing talks with India,REAL
100,Students Plans to Erase Poverty in 1 Day,FAKE
101,Rahul Gandhi Claims Hidden Gold Reserves,FAKE
102,Vedic AI Declared National Science of India,FAKE
